Rank;Name;LAT;LON
01;Paris;48.8666;2.3333
02;Marseille;49.5833;1.95
03;Lyon;45.75;4.85
04;Toulouse;46.8166;5.5833
05;Nice;43.7;7.25
06;Nantes;47.2166;-1.55
07;Strasbourg;48.5833;7.75
08;Montpellier;45.6333;-0.75
09;Bordeaux;48.6833;1.1
10;Lille;50.6333;3.0666
11;Rennes;48.4833;-0.4833
12;Reims;49.25;4.0333
13;Le Havre;49.5166;-1.2833
14;Saint-tienne;45.441;4.93
15;Toulon;48.85;3.8833
16;Grenoble;45.1666;5.7166
17;Angers;47.4666;-0.55
18;Dijon;47.3166;5.0166
19;Brest;48.4;-4.4833
20;Le Mans;48;0.2
21;Nimes;43.8333;4.35
22;Aix-en-Provence;43.5333;5.4333
23;Clermont-Ferrand;45.7833;3.0833
24;Tours;50.0333;1.6833
25;Amiens;49.9;2.3
26;Limoges;48.6166;2.6666
27;Villeurbanne;45.7666;4.8833
28;Metz;50.0666;3.0666
29;Besancon;47.245;6.026
30;Perpignan;42.6833;2.8833
31;Orleans;47.9166;1.9
32;Caen;49.1833;-0.35
33;Mulhouse;47.75;7.3333
34;Boulogne-Billancourt;48.8333;2.25
35;Rouen;49.45;1.1
36;Nancy;48.6833;6.2
37;Argenteuil;48.95;2.25
38;Montreuil;50.4666;1.7666
39;Saint-Denis;49.8666;0.95
40;Roubaix;50.7;3.1666
41;Avignon;46.4;5.8333
42;Tourcoing;50.7166;3.15
43;Poitiers;46.5833;0.3333
44;Nanterre;48.9;2.2
45;Creteil;48.7833;2.4666
46;Versailles;48.8;2.1333
47;Pau;45.5666;6.1666
48;Courbevoie;48.9;2.244
49;Vitry-sur-Seine;48.7833;2.4
50;Asnieres-sur-Seine;48.912;2.281
51;Colombes;48.9166;2.25
52;Aulnay-sous-Bois;48.95;2.5166
53;La Rochelle;48.7666;-1.4333
54;Rueil-Malmaison;48.8833;2.2
55;Antibes;43.5833;7.1166
56;Saint-Maur-des-Fosses;48.8;2.5
57;Calais;44.9833;0.9666
58;Champigny-sur-Marne;48.8166;2.5166
59;Aubervilliers;48.9166;2.3833
60;Beziers;43.35;3.25
61;Bourges;47.0833;2.4
62;Cannes;43.9166;4.0833
63;Saint-Nazaire;47.2833;-2.2
64;Dunkerque;51.05;2.3666
65;Quimper;48;-4.1
66;Valence;46.4333;5.5666
67;Colmar;48.0833;7.3666
68;Drancy;48.9333;2.45
69;Merignac;45.7;0.0833
70;Ajaccio;41.9166;8.7333
71;Levallois-Perret;48.9;2.2833
72;Troyes;48.3;4.0833
73;Neuilly-sur-Seine;48.8833;2.2666
74;Issy-les-Moulineaux;48.8166;2.2666
75;Villeneuve-d'Ascq;50.628;3.143
76;Noisy-le-Grand;48.85;2.5666
77;Antony;48.75;2.3
78;Niort;48.4333;-0.5333
79;Lorient;47.75;-3.3666
80;Sarcelles;49;2.3833
81;Chambery;45.6;5.9
82;Saint-Quentin;50.6333;2.3666
83;Pessac;44.8166;0.0833
84;Venissieux;45.6833;4.8833
85;Cergy;49.0333;2.0666
86;La Seyne-sur-Mer;43.1;5.8833
87;Clichy;48.9166;2.55
88;Beauvais;49.4333;2.0833
89;Cholet;47.0666;-0.8833
90;Hyeres;48.25;-3.6
91;Ivry-sur-Seine;48.8166;2.3833
92;Montauban;50;2.7833
93;Vannes;48.55;5.7833
94;La Roche-sur-Yon;46.6666;-1.4333
95;Charleville-Mezieres;49.7666;4.7166
96;Pantin;48.9;2.4
97;Laval;49.5;3.6
98;Maisons-Alfort;48.8;2.4333
99;Bondy;48.9;2.4666
100;Evry;48.65;2.6333
